"EVADIDO","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","SIF001","SIF002","SIF009","SIF026","SIF027","SIF032","SIF033","SIF042","SIF043","SIF047","SIF049","SIF058","SIF063","SIF064","SIF029","SIF006","SIF073"
0,1,2019,7,10,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1
1,1,2016,5.5,18,15,3,3,1,1,1,2,0,0,0,1,0,0,0,0,1,1,0,1,0
1,0,2014,3,12,6,6,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0
1,1,2014,5.1,49,37,12,10,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0
0,1,2019,5.4,10,8,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2019,6.4,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,2.2,6,1,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2017,6.3,16,14,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,2014,6.4,12,10,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,2016,6.2,48,46,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2015,6.3,50,48,2,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,6,22,19,3,3,2,1,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2017,6.6,36,35,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,0,2018,8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2017,5.8,36,26,10,9,1,1,1,1,1,2,0,2,1,0,0,1,1,1,1,1,0
1,1,2014,5.6,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2017,6.5,36,32,4,4,1,1,1,1,1,1,0,2,1,0,0,1,1,1,2,1,0
0,1,2019,8.3,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2018,7.2,17,17,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2016,6.2,45,41,4,3,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,2017,1.3,14,0,14,2,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1,1,2019,0.9,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2015,2.7,6,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2018,1.2,15,1,14,8,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,2017,7.9,34,34,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0
1,1,2014,3.5,6,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,6.7,12,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,2014,5.7,29,24,5,3,1,1,1,2,0,0,0,3,0,0,0,0,1,1,0,1,0
0,1,2016,7.8,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2017,8.5,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2019,8.7,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,5.8,9,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,7.5,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2014,5.3,61,46,15,15,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0
1,1,2015,5.3,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2018,7.9,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,2015,8.4,12,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,2014,6.1,57,48,9,7,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0
1,1,2017,7.8,36,36,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,2015,5.2,52,34,18,18,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,0
0,1,2015,6.8,49,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2019,9.2,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,6.7,10,9,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2015,7.5,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,4.8,22,14,8,8,2,1,1,1,1,0,0,2,0,0,0,0,1,2,1,0,0
0,1,2015,6,54,48,6,4,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,0
0,1,2017,7.2,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
1,0,2016,4,29,13,16,13,0,0,2,2,2,2,0,4,1,0,0,1,1,1,2,1,0
0,1,2018,6.2,22,21,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2017,5.4,18,14,4,4,1,1,1,1,0,0,0,2,0,0,0,0,1,1,0,1,0
0,1,2019,7.2,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2018,6.4,22,21,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2014,6.1,50,48,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2017,6.9,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2015,7.6,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,2014,5.5,84,60,24,2,1,1,1,5,3,1,1,1,1,1,1,1,1,1,3,1,0
0,0,2016,4.6,47,22,25,22,1,1,1,2,2,1,2,4,1,0,3,2,1,1,2,1,0
1,1,2018,7.4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,3.9,6,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2014,5.5,12,8,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0
0,1,2018,8.8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2018,8.7,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2015,5.6,52,40,12,12,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0
0,0,2018,8.5,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2016,7.1,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,7.2,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,2014,5.8,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2018,6.9,22,19,3,3,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2018,4.2,20,11,9,7,2,1,0,2,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2016,6.4,16,15,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,1,2015,5.8,36,29,7,7,2,1,1,1,1,1,0,1,1,0,0,1,1,2,1,1,0
0,1,2017,7.7,37,37,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,0,2018,1,16,0,16,2,0,0,4,4,4,0,0,4,0,0,0,0,4,2,4,0,0
0,1,2019,5.8,10,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,1,2015,9.3,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,8.6,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2016,6,48,43,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,2018,7.5,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2019,6.4,10,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1,1,2014,6,6,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2017,5.6,36,26,10,9,2,1,2,1,1,1,0,2,1,0,0,1,1,2,2,1,0
1,1,2015,3.9,6,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2018,5.7,16,13,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2016,6.5,11,10,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,2016,6,48,43,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,2014,5.7,55,46,9,9,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,2018,0.1,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,4.4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2016,6,48,39,9,9,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,0
1,1,2014,3.5,6,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2017,5.4,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2016,4.4,46,24,22,19,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,0
0,1,2018,5.3,15,13,2,2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2018,5.5,22,18,4,4,1,1,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2016,2,6,0,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2018,7.3,25,25,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2018,6.9,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2015,6.8,48,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,6.6,17,16,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,2018,7.8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2018,7.5,32,32,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0
0,0,2016,7.4,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,2019,8.2,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2016,3.5,47,17,30,29,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,1,0
1,1,2016,6.2,18,18,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
0,0,2017,5.9,25,25,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,2019,9.1,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2016,5.5,12,9,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0
0,1,2019,7.3,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2016,3.9,42,20,22,18,1,2,2,2,2,4,4,2,1,0,0,1,1,1,2,1,0
1,1,2017,6.3,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2014,4.9,12,6,6,3,1,1,4,0,0,0,0,0,0,0,0,0,0,4,0,2,0
0,0,2016,8.2,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,5.3,17,13,4,4,2,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0
1,1,2017,5.1,6,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2018,6.7,17,17,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2019,2.3,10,1,9,9,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2
0,1,2014,7.3,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,6.8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2017,8.3,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2018,8.6,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2014,3.9,18,9,9,2,1,1,2,4,0,0,0,4,0,0,0,0,4,1,0,1,0
1,1,2015,6.3,15,14,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0
1,1,2017,3.3,29,9,20,19,2,1,2,2,1,0,0,2,0,0,0,0,1,1,2,1,0
1,1,2018,8,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2018,8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,2014,3.5,18,6,12,8,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0
0,1,2018,8.6,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2019,5.3,10,5,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2015,5.2,18,12,6,6,1,1,2,1,0,0,0,2,0,0,0,0,1,1,0,1,0
1,1,2016,7.1,47,45,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0
0,1,2017,6.9,36,34,2,2,1,1,1,1,1,1,0,1,1,0,0,2,1,1,1,1,0
0,1,2019,6.5,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2016,6.7,49,47,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,0
1,1,2014,5.1,23,17,6,1,1,1,1,1,4,0,0,1,0,0,0,0,1,1,4,1,0
0,1,2018,7.1,22,21,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2017,5.6,42,38,4,3,1,1,1,1,1,0,0,2,0,0,0,0,1,1,2,1,0
1,1,2015,2.7,17,4,13,13,0,0,2,1,2,0,0,2,0,0,0,0,1,2,2,1,0
1,1,2018,5,11,8,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,1,2015,7.4,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2016,6.7,48,46,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,2019,8.8,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2017,6.8,36,34,2,2,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1,0
0,1,2015,7.5,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2019,8.2,9,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,1,2017,6.4,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
1,1,2014,7.2,96,96,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,2014,6.1,50,48,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2015,7.8,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2017,8.8,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
1,1,2014,5.2,12,10,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,2016,3.5,12,3,9,5,2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0
1,1,2017,5.8,18,13,5,4,1,1,1,2,0,0,0,2,0,0,0,0,1,1,0,1,0
1,1,2018,7.6,17,16,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,2017,4.1,36,16,20,20,2,1,2,1,2,2,0,2,1,0,0,1,1,1,2,1,0
1,1,2018,6,5,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2019,8,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,2015,3.6,23,6,17,17,2,1,2,2,2,0,0,2,0,0,0,0,1,2,1,2,0
0,1,2018,6.3,22,18,4,4,1,1,1,1,1,0,0,2,0,0,0,0,1,1,1,0,0
0,0,2019,7,10,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,8.8,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2015,3.2,58,12,46,45,2,2,2,2,5,1,2,2,1,1,1,2,2,2,2,2,0
0,1,2017,8.1,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2018,7,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
