"EVADIDO","NOTA_MEDIA","SIF043","SIF073","NCS005","SIF027","SIF006","TOT_REPROVACOES","SIF060","SIF009","SIF033","SIF029","BOLSISTA","SIF011","SIF058","NCS012","SIF002","SIF063","SIF047","SIF064","TOT_REPROV_NOTA_FREQ","TOT_MAT_CURSADAS","TOT_APROVACOES"
0,7,0,1,0,0,0,1,0,0,0,4,1,0,0,0,1,1,0,1,1,10,9
1,5.5,0,0,0,0,1,3,0,1,0,0,1,0,0,1,1,1,0,1,0,18,15
1,3,0,0,0,0,4,6,0,4,0,0,0,0,0,1,1,0,0,4,6,12,6
1,5.1,1,0,0,1,1,12,1,2,2,1,1,2,1,1,1,1,1,1,2,49,37
0,5.4,0,1,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,0,10,8
1,6.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,4
1,2.2,0,0,0,0,0,5,0,0,0,0,1,0,0,2,1,0,0,0,1,6,1
1,6.3,0,0,0,0,1,2,0,0,0,0,1,0,0,2,1,1,0,1,1,16,14
1,6.4,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,1,0,12,10
0,6.2,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,48,46
0,6.3,1,0,0,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,0,50,48
0,6,0,0,1,1,0,3,0,1,0,1,1,0,0,0,1,1,0,1,0,22,19
0,6.6,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,36,35
0,8,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
1,5.8,1,0,0,1,1,10,0,1,0,1,1,2,1,1,1,1,0,1,1,36,26
1,5.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,6.5,1,0,0,1,1,4,0,1,0,2,1,1,1,2,1,1,0,1,0,36,32
0,8.3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7.2,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,17,17
0,6.2,1,0,0,1,1,4,1,0,1,1,1,2,1,1,1,1,1,0,1,45,41
1,1.3,0,0,0,0,0,14,0,4,0,0,1,0,0,0,4,0,0,4,11,14,0
1,0.9,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
1,2.7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,6,2
1,1.2,0,0,2,0,0,14,0,2,0,0,1,0,0,2,2,0,0,4,6,15,1
0,7.9,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,34,34
1,3.5,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,0,0,6,1
1,6.7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,5.7,0,0,1,0,1,5,0,1,0,0,1,0,0,1,1,1,0,1,1,29,24
0,7.8,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.5,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,8.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,9,8
0,7.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.3,1,0,0,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,0,61,46
1,5.3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,6,5
0,7.9,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
1,8.4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,12,12
0,6.1,1,0,0,1,1,9,1,1,1,1,1,1,1,1,1,1,5,1,0,57,48
1,7.8,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,36,36
1,5.2,1,0,0,1,1,18,2,2,2,1,1,2,1,1,1,1,1,1,0,52,34
0,6.8,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,49,48
0,9.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.7,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,10,9
0,7.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,4.8,0,0,1,1,0,8,0,1,0,1,1,0,0,0,1,1,0,2,0,22,14
0,6,1,0,0,1,1,6,1,1,5,5,1,1,1,1,1,1,1,5,1,54,48
0,7.2,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,4,1,0,0,2,1,16,0,2,0,2,0,2,1,0,0,1,0,1,3,29,13
0,6.2,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,22,21
1,5.4,0,0,0,0,1,4,0,1,0,0,1,0,0,2,1,1,0,1,0,18,14
0,7.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.4,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,22,21
0,6.1,1,0,0,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,0,50,48
0,6.9,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,7.6,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
1,5.5,1,0,0,3,1,24,1,1,1,3,1,5,1,1,1,1,1,1,15,84,60
0,4.6,1,0,0,2,1,25,1,1,2,2,0,2,2,1,1,1,0,1,1,47,22
1,7.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
1,3.9,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,6,3
1,5.5,0,0,0,0,2,4,0,2,0,0,0,0,0,1,1,0,0,1,0,12,8
0,8.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,8.7,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.6,1,0,0,1,1,12,1,1,2,1,1,1,1,1,1,1,1,1,0,52,40
0,8.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
0,7.1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,7.2,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4
0,6.9,0,0,1,1,0,3,0,1,0,1,1,0,0,0,1,1,0,1,0,22,19
1,4.2,0,0,1,1,0,9,0,0,0,1,1,0,0,0,1,1,0,1,2,20,11
1,6.4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,16,15
1,5.8,1,0,0,1,1,7,0,1,0,1,1,1,1,1,1,1,0,2,0,36,29
0,7.7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,37,37
0,1,0,0,0,4,0,16,0,4,0,4,0,0,0,0,0,4,0,2,14,16,0
0,5.8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
0,9.3,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,6,1,0,0,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,48,43
0,7.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
0,6.4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,5.6,1,0,0,1,1,10,0,2,0,2,1,1,1,1,1,1,0,2,1,36,26
1,3.9,0,0,0,0,0,3,0,0,0,0,1,0,0,2,2,0,0,0,0,6,3
1,5.7,0,0,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,16,13
1,6.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,10
0,6,1,0,0,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,0,48,43
0,5.7,1,0,0,1,1,9,1,5,1,1,0,1,1,1,1,1,1,1,0,55,46
1,0.1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
1,4.4,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,2
0,6,1,0,0,1,1,9,1,2,2,1,1,1,1,1,1,1,1,1,0,48,39
1,3.5,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,0,0,6,1
1,5.4,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,6,5
0,4.4,1,0,0,1,2,22,4,2,2,2,1,2,2,1,1,1,2,1,3,46,24
0,5.3,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,15,13
0,5.5,0,0,1,1,0,4,0,1,0,1,1,0,0,0,1,1,0,1,0,22,18
1,2,0,0,0,0,0,6,0,0,0,0,1,0,0,2,2,0,0,0,0,6,0
0,7.3,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,25,25
1,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
0,6.8,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,48,47
0,6.6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,17,16
0,7.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,7.5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,32,32
0,7.4,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,48,48
0,8.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10,10
0,3.5,1,0,0,2,1,30,4,1,2,2,1,2,2,2,1,1,2,2,1,47,17
1,6.2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,18,18
0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,25,25
0,9.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,5.5,0,0,0,0,1,3,0,2,0,0,1,0,0,1,1,0,0,2,0,12,9
0,7.3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.9,1,0,0,2,1,22,0,2,4,2,1,2,1,1,2,1,0,1,4,42,20
1,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,6
1,4.9,0,0,0,0,2,6,0,4,0,0,1,0,0,1,1,0,0,4,3,12,6
0,8.2,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,48,48
0,5.3,0,0,0,2,0,4,0,1,0,0,1,0,0,0,1,1,0,1,0,17,13
1,5.1,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,6,3
0,6.7,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,17,17
0,2.3,0,2,0,0,0,9,0,2,0,0,1,0,0,0,2,0,0,2,0,10,1
0,7.3,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,6.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,8.3,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,3.9,0,0,0,0,1,9,0,2,0,0,1,0,0,2,1,4,0,1,7,18,9
1,6.3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2,0,15,14
1,3.3,0,0,0,1,1,20,0,2,0,2,1,2,0,2,1,1,0,1,1,29,9
1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
0,8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,3.5,0,0,0,0,1,12,0,2,0,0,0,0,0,1,1,0,0,2,4,18,6
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,5.3,0,1,0,0,0,5,0,2,0,0,1,0,0,0,1,0,0,1,0,10,5
1,5.2,0,0,0,0,1,6,0,2,0,0,1,0,0,1,1,1,0,1,0,18,12
1,7.1,1,0,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,47,45
0,6.9,1,0,0,1,1,2,0,1,0,1,1,1,2,1,1,1,0,1,0,36,34
0,6.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.7,1,0,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,49,47
1,5.1,0,0,0,4,1,6,0,1,0,4,1,0,0,1,1,1,0,1,5,23,17
0,7.1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,22,21
1,5.6,0,0,1,1,1,4,0,1,0,2,1,0,0,1,1,1,0,1,1,42,38
1,2.7,0,0,0,2,1,13,0,2,0,2,1,0,0,0,0,1,0,2,0,17,4
1,5,0,0,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,2,0,11,8
0,7.4,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,6.7,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,48,46
0,8.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10,10
0,6.8,1,0,0,1,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,36,34
0,7.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,9,9
0,6.4,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,7.2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,96,96
1,6.1,1,0,0,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,50,48
0,7.8,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.8,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,5.2,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,1,0,12,10
1,3.5,0,0,0,0,2,9,0,2,0,0,1,0,0,2,1,0,0,4,4,12,3
1,5.8,0,0,0,0,1,5,0,1,0,0,1,0,0,1,1,1,0,1,1,18,13
1,7.6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,17,16
0,4.1,1,0,0,2,1,20,0,2,0,2,1,2,1,2,1,1,0,1,0,36,16
1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4
0,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.6,0,0,0,2,2,17,0,2,0,1,0,0,0,1,1,1,0,2,0,23,6
0,6.3,0,0,1,1,0,4,0,1,0,1,1,0,0,0,1,1,0,1,0,22,18
0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,10,9
0,8.8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.2,1,0,0,5,2,46,2,2,2,2,1,2,2,2,2,2,1,2,1,58,12
0,8.1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,7,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,5.1,0,0,1,0,0,6,0,2,0,0,1,0,0,0,1,1,0,1,0,17,11
0,8.8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,10,9
1,3.2,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,0,0,6,1
0,5.6,1,0,0,1,1,8,1,1,5,1,1,1,1,1,1,1,1,1,0,54,46
0,7.8,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,5,1,0,0,1,1,12,0,2,0,1,1,0,1,1,1,1,0,1,2,34,22
0,8.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.6,0,0,1,2,0,5,0,1,0,1,1,0,0,0,1,4,0,1,1,22,17
0,6.2,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,49,48
0,6.8,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,10,9
0,8.1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,0.1,0,0,0,0,0,6,0,0,0,0,1,0,0,2,4,0,0,0,5,6,0
0,6.9,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,46,45
1,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4
0,7.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,8.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,5.8,1,0,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,0,47,41
1,6.9,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,1.9,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
0,5.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
0,8.5,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,0.2,0,0,0,0,4,6,0,4,0,0,1,0,0,0,0,0,0,4,6,6,0
0,8,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,49,49
1,0.4,0,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,5,6,0
0,6.5,1,0,0,1,0,5,1,1,2,1,1,1,1,1,0,1,1,0,0,41,36
0,7.8,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,36,35
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,4,0,0,0,0,0,6,0,4,0,0,1,0,0,0,2,0,0,2,1,9,3
0,7.4,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,4
0,5.9,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,20,20
1,4.6,0,0,0,1,2,14,0,2,0,1,0,2,0,1,1,1,0,2,0,29,15
0,6.3,1,0,0,1,1,4,0,1,0,2,1,1,1,2,1,1,0,1,0,36,32
0,7.4,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,49,48
1,5,0,0,0,0,1,5,0,2,0,0,1,0,0,1,1,0,0,2,0,12,7
0,7.9,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,7.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
1,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,11,11
0,6.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,8.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.7,0,0,0,0,0,10,0,2,0,0,1,0,0,0,1,2,0,1,1,16,6
1,5.7,0,0,0,0,1,4,0,2,0,0,1,0,0,1,1,0,0,1,0,12,8
1,4.2,0,0,0,0,1,11,0,2,0,0,1,0,0,1,1,2,0,1,0,18,7
0,5.8,1,0,0,1,1,5,1,0,1,1,1,1,1,0,1,1,1,5,0,49,44
1,6.3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,6.7,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,48,46
0,5.7,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2
1,3.5,0,0,0,0,1,14,0,2,0,0,1,0,0,1,1,2,0,2,3,23,9
1,6.1,0,0,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,1,0,12,11
0,8.2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,4.7,1,0,0,2,1,18,2,1,2,1,0,1,1,1,1,1,4,1,2,47,29
1,4.6,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,6,4
0,5.7,1,0,0,5,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,56,43
0,5,1,0,0,2,1,15,3,1,2,2,1,2,1,1,1,1,2,1,1,48,33
0,6.5,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,29,28
0,6.7,1,0,0,1,1,4,1,1,1,1,1,1,5,1,1,1,0,1,1,48,44
1,1.4,0,4,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,4,5,5,0
0,6,1,0,0,2,1,4,0,1,0,1,1,1,0,1,1,1,0,1,1,35,31
0,7.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
0,4.1,1,0,0,1,1,24,2,2,2,1,1,2,1,2,1,1,2,1,0,48,24
0,7.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.4,1,0,0,1,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,36,34
0,6.4,1,0,0,1,1,4,1,1,2,1,1,1,1,1,1,1,2,1,0,60,56
0,8.6,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,5.2,0,0,1,1,0,7,0,2,0,1,1,0,0,0,1,2,0,1,0,22,15
1,6.5,0,0,0,0,1,3,0,2,0,0,0,0,0,1,1,1,0,1,0,18,15
0,8.2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
1,3.7,0,0,1,0,0,10,0,2,0,0,1,0,0,0,1,1,0,2,0,17,7
0,7.3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.2,0,0,1,0,0,5,0,1,0,0,1,0,0,0,1,1,0,1,2,17,12
1,6.5,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,1,0,12,10
0,5.6,1,0,0,2,1,9,0,1,0,2,1,1,1,1,1,1,0,1,0,36,27
0,6.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
1,3.2,0,0,1,0,0,4,0,2,0,0,1,0,0,0,0,0,0,2,0,6,2
1,7.4,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,4.1,0,0,0,2,1,11,0,1,0,4,1,0,0,2,1,1,0,1,3,23,12
0,7.8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,8.7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,5.4,0,0,0,1,1,6,0,2,0,1,1,1,0,0,1,1,0,2,0,28,22
1,5.7,0,0,0,2,1,7,0,1,0,1,1,2,0,1,1,1,0,1,0,29,22
1,5,0,0,0,0,1,10,0,2,0,3,1,0,0,2,1,1,0,2,0,21,11
